InvoiceNo,CustomerID,Product,Quantity,UnitPrice,TotalPrice,InvoiceDate,Location,CustomerType
ORD10000,CUST1076,Sanitary Towels (Pack),1,153.6,153.6,2/17/2023,Umoja,Regular
ORD10001,CUST1075,Bread (400g),1,52.55,52.55,2/9/2023,Nairobi,Regular
ORD10002,CUST1020,Milk (500ml),1,44.2,44.2,2/1/2023,Roysambu,Regular
ORD10003,CUST1181,Sanitary Towels (Pack),1,250.33,250.33,2/22/2023,Ruiru,Budget
ORD10004,CUST1079,Sugar (1kg),1,132.24,132.24,4/13/2023,Nairobi,Budget
ORD10005,CUST1211,Maize Flour (2kg),1,130.76,130.76,4/29/2023,Ruiru,Regular
ORD10006,CUST1210,Sugar (1kg),1,113.4,113.4,4/11/2023,Nairobi,Budget
ORD10007,CUST1195,Maize Flour (2kg),1,180.09,180.09,11/22/2023,Roysambu,Budget
ORD10008,CUST1179,Tea Leaves (250g),1,78.35,78.35,4/22/2023,Rongai,Budget
ORD10009,CUST1012,Sugar (1kg),1,111.95,111.95,2/5/2023,Thika,Regular
ORD10010,CUST1142,Milk (500ml),1,55.47,55.47,2/21/2023,Nairobi,Budget
ORD10011,CUST1274,Milk (500ml),1,61.72,61.72,1/15/2023,Thika,Budget
ORD10012,CUST1133,Cooking Oil (1L),0,270.96,0,11/9/2023,Umoja,Budget
ORD10013,CUST1176,Milk (500ml),1,48.73,48.73,7/7/2023,Thika,Regular
ORD10014,CUST1130,Maize Flour (2kg),1,170.65,170.65,1/1/2023,Nairobi,Budget
ORD10015,CUST1275,Sugar (1kg),1,116.47,116.47,1/9/2023,Thika,Budget
ORD10016,CUST1169,Soap (Bar),1,38.09,38.09,9/1/2023,Thika,Budget
ORD10017,CUST1259,Tea Leaves (250g),1,73.51,73.51,2/11/2023,Umoja,Budget
ORD10018,CUST1151,Sanitary Towels (Pack),1,170.87,170.87,2/23/2023,Kitengela,Budget
ORD10019,CUST1194,Cooking Oil (1L),1,274.63,274.63,2/8/2023,Nairobi,Budget
ORD10020,CUST1000,Tea Leaves (250g),1,61.54,61.54,2/25/2023,Kitengela,Budget
ORD10021,CUST1164,Eggs (Tray),1,338.19,338.19,3/28/2023,Roysambu,Budget
ORD10022,CUST1242,Cooking Oil (1L),1,252.59,252.59,1/17/2023,Rongai,Premium
ORD10023,CUST1171,Rice (1kg),1,144.15,144.15,4/7/2023,Kitengela,Budget
ORD10024,CUST1158,Sugar (1kg),1,130.41,130.41,8/4/2023,Nairobi,Budget
ORD10025,CUST1243,Soap (Bar),1,49.34,49.34,1/10/2023,Umoja,Budget
ORD10026,CUST1294,Sugar (1kg),1,127.63,127.63,2/19/2023,Ruiru,Budget
ORD10027,CUST1124,Cooking Oil (1L),1,278.89,278.89,1/1/2023,Thika,Budget
ORD10028,CUST1054,Bread (400g),1,57.1,57.1,4/13/2023,Kitengela,Budget
ORD10029,CUST1265,Eggs (Tray),1,302.51,302.51,2/1/2023,Ruiru,Regular
ORD10030,CUST1062,Eggs (Tray),1,306.67,306.67,3/1/2023,Kitengela,Regular
ORD10031,CUST1286,Soap (Bar),1,38.16,38.16,4/7/2023,Roysambu,Budget
ORD10032,CUST1258,Bread (400g),0,69.94,0,3/12/2023,Nairobi,Budget
ORD10033,CUST1081,Eggs (Tray),1,322.5,322.5,4/7/2023,Nairobi,Regular
ORD10034,CUST1141,Sanitary Towels (Pack),0,208.38,0,1/31/2023,Rongai,Budget
ORD10035,CUST1039,Tea Leaves (250g),0,59.89,0,2/12/2023,Kitengela,Budget
ORD10036,CUST1276,Rice (1kg),1,89.69,89.69,1/30/2023,Thika,Regular
ORD10037,CUST1078,Sugar (1kg),1,107.02,107.02,2/22/2023,Nairobi,Budget
ORD10038,CUST1238,Bread (400g),1,51.25,51.25,4/17/2023,Kitengela,Regular
ORD10039,CUST1299,Maize Flour (2kg),1,179.97,179.97,4/8/2023,Roysambu,Budget
ORD10040,CUST1244,Maize Flour (2kg),1,185.39,185.39,2/8/2023,Nairobi,Budget
